piano;piano_;measure;composer;corpus
[('P', 0.5), ['A3', 0.25], ['C4', 0.25], ['E4', 0.25], ['A3', 0.25], ['C4', 0.25], ['E4', 0.25], ('P', 0.5), ['A3', 0.25], ['C4', 0.25], ['E4', 0.25], ['A3', 0.25], ['C4', 0.25], ['E4', 0.25]];[];20;bach;bwv846
[('P', 0.5), ['A3', 0.25], ['C4', 0.25], ['E-4', 0.25], ['A3', 0.25], ['C4', 0.25], ['E-4', 0.25], ('P', 0.5), ['A3', 0.25], ['C4', 0.25], ['E-4', 0.25], ['A3', 0.25], ['C4', 0.25], ['E-4', 0.25]];[];21;bach;bwv846
[('P', 0.5), ['B3', 0.25], ['C4', 0.25], ['D4', 0.25], ['B3', 0.25], ['C4', 0.25], ['D4', 0.25], ('P', 0.5), ['B3', 0.25], ['C4', 0.25], ['D4', 0.25], ['B3', 0.25], ['C4', 0.25], ['D4', 0.25]];[];22;bach;bwv846
[('P', 0.5), ['G3', 0.25], ['B3', 0.25], ['D4', 0.25], ['G3', 0.25], ['B3', 0.25], ['D4', 0.25], ('P', 0.5), ['G3', 0.25], ['B3', 0.25], ['D4', 0.25], ['G3', 0.25], ['B3', 0.25], ['D4', 0.25]];[];23;bach;bwv846
[('P', 0.5), ['G3', 0.25], ['C4', 0.25], ['E4', 0.25], ['G3', 0.25], ['C4', 0.25], ['E4', 0.25], ('P', 0.5), ['G3', 0.25], ['C4', 0.25], ['E4', 0.25], ['G3', 0.25], ['C4', 0.25], ['E4', 0.25]];[];24;bach;bwv846
[('P', 0.5), ['G3', 0.25], ['B3', 0.25], ['F4', 0.25], ['G3', 0.25], ['B3', 0.25], ['F4', 0.25], ('P', 0.5), ['G3', 0.25], ['B3', 0.25], ['F4', 0.25], ['G3', 0.25], ['B3', 0.25], ['F4', 0.25]];[];25;bach;bwv846
[('P', 0.5), ['A3', 0.25], ['C4', 0.25], ['F#4', 0.25], ['A3', 0.25], ['C4', 0.25], ['F#4', 0.25], ('P', 0.5), ['A3', 0.25], ['C4', 0.25], ['F#4', 0.25], ['A3', 0.25], ['C4', 0.25], ['F#4', 0.25]];[];26;bach;bwv846
[('P', 0.5), ['G3', 0.25], ['C4', 0.25], ['G4', 0.25], ['G3', 0.25], ['C4', 0.25], ['G4', 0.25], ('P', 0.5), ['G3', 0.25], ['C4', 0.25], ['G4', 0.25], ['G3', 0.25], ['C4', 0.25], ['G4', 0.25]];[];27;bach;bwv846
[('P', 0.5), ['G3', 0.25], ['C4', 0.25], ['F4', 0.25], ['G3', 0.25], ['C4', 0.25], ['F4', 0.25], ('P', 0.5), ['G3', 0.25], ['C4', 0.25], ['F4', 0.25], ['G3', 0.25], ['C4', 0.25], ['F4', 0.25]];[];28;bach;bwv846
[('P', 0.5), ['G3', 0.25], ['B3', 0.25], ['F4', 0.25], ['G3', 0.25], ['B3', 0.25], ['F4', 0.25], ('P', 0.5), ['G3', 0.25], ['B3', 0.25], ['F4', 0.25], ['G3', 0.25], ['B3', 0.25], ['F4', 0.25]];[];29;bach;bwv846
[('P', 0.5), ['G3', 0.25], ['B-3', 0.25], ['E4', 0.25], ['G3', 0.25], ['B-3', 0.25], ['E4', 0.25], ('P', 0.5), ['G3', 0.25], ['B-3', 0.25], ['E4', 0.25], ['G3', 0.25], ['B-3', 0.25], ['E4', 0.25]];[];30;bach;bwv846
[('P', 0.5), ['F3', 0.25], ['A3', 0.25], ['C4', 0.25], ['F4', 0.25], ['C4', 0.25], ['A3', 0.25], ['C4', 0.25], ['A3', 0.25], ['F3', 0.25], ['A3', 0.25], ['F3', 0.25], ['D3', 0.25], ['F3', 0.25], ['D3', 0.25]];[];31;bach;bwv846
[('P', 0.5), ['G4', 0.25], ['B4', 0.25], ['D5', 0.25], ['F5', 0.25], ['D5', 0.25], ['B4', 0.25], ['D5', 0.25], ['B4', 0.25], ['G4', 0.25], ['B4', 0.25], ['D4', 0.25], ['F4', 0.25], ['E4', 0.25], ['D4', 0.25]];[];32;bach;bwv846
[(['E4', 'G4', 'C5'], 4.0)];[(['C2', 'C3'], 4.0)];33;bach;bwv846
